PortNumber,reg0,reg1,reg5,reg11
1/1/14/1,0x1140,0x016d,0x41a0,0x0006
1/1/14/3,0x1140,0x016d,0x41a0,0x0006
1/1/14/5,0x0140,0x014d,0x0000,0x0006
1/1/14/7,0x0940,0x0149,0x0000,0x0006
1/1/14/9,0x0940,0x0149,0x0000,0x0006
1/1/14/11,0x0940,0x0149,0x0000,0x0006
1/1/14/13,0x0140,0x014d,0x0000,0x0006
1/1/14/15,0x0940,0x0149,0x0000,0x0006
1/1/14/17,0x0940,0x0149,0x0000,0x0006
1/1/14/19,0x0140,0x014d,0x0000,0x0006
1/1/14/21,0x1140,0x016d,0x4160,0x0006
1/1/14/23,0x0140,0x014d,0x0000,0x0006
1/1/14/25,0x0140,0x014d,0x0000,0x0006
1/1/14/27,0x1940,0x0149,0x0000,0x0006
1/1/14/29,0x0940,0x0149,0x0000,0x0006
1/1/14/31,0x0940,0x0149,0x0000,0x0006
1/1/14/33,0x0940,0x0149,0x0000,0x0006
1/1/14/35,0x0940,0x0149,0x0000,0x0006
1/1/15/1,0x1940,0x0149,0x0000,0x0006
1/1/15/3,0x0940,0x0149,0x0000,0x0006
1/1/15/5,0x0940,0x0149,0x0000,0x0006
1/1/15/7,0x0940,0x0149,0x0000,0x0006
1/1/15/9,0x1940,0x0149,0x0000,0x0006
1/1/15/11,0x0940,0x0149,0x0000,0x0006
1/1/15/13,0x0940,0x0149,0x0000,0x0006
1/1/15/15,0x0940,0x0149,0x0000,0x0006
1/1/15/17,0x0940,0x0149,0x0000,0x0006
1/1/15/19,0x0940,0x0149,0x0000,0x0006
1/1/15/21,0x0940,0x0149,0x0000,0x0006
1/1/15/23,0x0940,0x0149,0x0000,0x0006
1/1/15/25,0x0940,0x0149,0x0000,0x0006
1/1/15/27,0x0940,0x0149,0x0000,0x0006
1/1/15/29,0x1940,0x0149,0x0000,0x0006
1/1/15/31,0x0940,0x0149,0x0000,0x0006
1/1/15/33,0x0940,0x0149,0x0000,0x0006
1/1/15/35,0x0940,0x0149,0x0000,0x0006
1/1/16/1,0x0940,0x0149,0x0000,0x0006
1/1/16/3,0x0940,0x0149,0x0000,0x0006
1/1/16/5,0x0940,0x0149,0x0000,0x0006
1/1/16/7,0x0940,0x0149,0x0000,0x0006
1/1/16/9,0x0940,0x0149,0x0000,0x0006
1/1/16/11,0x0940,0x0149,0x0000,0x0006
1/1/16/13,0x0940,0x0149,0x0000,0x0006
1/1/16/15,0x0940,0x0149,0x0000,0x0006
1/1/16/17,0x0940,0x0149,0x0000,0x0006
1/1/16/19,0x0940,0x0149,0x0000,0x0006
1/1/16/21,0x0940,0x0149,0x0000,0x0006
1/1/16/23,0x0940,0x0149,0x0000,0x0006
1/1/16/25,0x0940,0x0149,0x0000,0x0006
1/1/16/27,0x0940,0x0149,0x0000,0x0006
1/1/16/29,0x0940,0x0149,0x0000,0x0006
1/1/16/31,0x0940,0x0149,0x0000,0x0006
1/1/16/33,0x0940,0x0149,0x0000,0x0006
1/1/16/35,0x0940,0x0149,0x0000,0x0006
